word,frequency,probability
बहुत,174,0.0009240328190966783
तीन,171,0.0009081012187674252
जारी,171,0.0009081012187674252
परिवार,170,0.0009027906853243408
अलावा,169,0.0008974801518812565
उसकी,168,0.0008921696184381721
हम,168,0.0008921696184381721
होता,168,0.0008921696184381721
उनका,167,0.0008868590849950877
शादी,167,0.0008868590849950877
आतंकी,166,0.0008815485515520034
मांग,165,0.0008762380181089191
पिछले,164,0.0008709274846658347
घटना,162,0.0008603064177796659
वहां,162,0.0008603064177796659
कम,162,0.0008603064177796659
करीब,161,0.0008549958843365816
इंडिया,160,0.0008496853508934973
अभी,159,0.0008443748174504129
आज,159,0.0008443748174504129
हमले,159,0.0008443748174504129
सकते,159,0.0008443748174504129
कहना,159,0.0008443748174504129
पीएम,157,0.0008337537505642442
सकती,156,0.0008284432171211598
लाख,152,0.0008072010833488224
मीडिया,151,0.000801890549905738
गांधी,150,0.0007965800164626537
रूप,150,0.0007965800164626537
आपको,149,0.0007912694830195693
पूरी,148,0.000785958949576485
थे,148,0.000785958949576485
मामला,148,0.000785958949576485
आने,147,0.0007806484161334006
यादव,147,0.0007806484161334006
दें,145,0.0007700273492472319
मां,145,0.0007700273492472319
जहां,144,0.0007647168158041476
विरोध,143,0.0007594062823610631
जबकि,143,0.0007594062823610631
दे,142,0.0007540957489179788
दूसरे,142,0.0007540957489179788
कुमार,140,0.0007434746820318101
हर,140,0.0007434746820318101
इसमें,140,0.0007434746820318101
पिता,139,0.0007381641485887258
चल,139,0.0007381641485887258
पता,137,0.000727543081702557
लगा,136,0.0007222325482594727
तरफ,136,0.0007222325482594727
कारण,135,0.0007169220148163883
बयान,134,0.000711611481373304
दिनों,134,0.000711611481373304
इलाके,134,0.000711611481373304
कोशिश,133,0.0007063009479302195
वीडियो,132,0.0007009904144871352
रहने,132,0.0007009904144871352
मदद,132,0.0007009904144871352
रिलीज,131,0.0006956798810440509
उसने,130,0.0006903693476009665
इसे,127,0.0006744377472717134
केस,127,0.0006744377472717134
मुझे,126,0.0006691272138286291
इसलिए,126,0.0006691272138286291
शेयर,126,0.0006691272138286291
खुद,126,0.0006691272138286291
गांव,126,0.0006691272138286291
सवाल,126,0.0006691272138286291
पूरे,125,0.0006638166803855447
जिसमें,125,0.0006638166803855447
मुंबई,125,0.0006638166803855447
आगे,124,0.0006585061469424604
पहली,123,0.000653195613499376
बिहार,122,0.0006478850800562916
ले,120,0.0006372640131701229
आए,120,0.0006372640131701229
ना,119,0.0006319534797270386
तौर,118,0.0006266429462839543
इसकी,117,0.0006213324128408698
तब,116,0.0006160218793977855
बनाने,116,0.0006160218793977855
जैसे,115,0.0006107113459547012
सेना,113,0.0006000902790685325
दूसरी,113,0.0006000902790685325
फैसला,113,0.0006000902790685325
लगातार,112,0.000594779745625448
सुनवाई,112,0.000594779745625448
बंद,112,0.000594779745625448
तहत,112,0.000594779745625448
विधायक,111,0.0005894692121823637
रात,111,0.0005894692121823637
दिए,109,0.000578848145296195
करता,108,0.0005735376118531107
कंपनी,108,0.0005735376118531107
महीने,108,0.0005735376118531107
आया,108,0.0005735376118531107
होती,107,0.0005682270784100263
इसका,106,0.0005629165449669419
यूपी,105,0.0005576060115238576
कभी,105,0.0005576060115238576
बना,105,0.0005576060115238576
चार,105,0.0005576060115238576
राम,104,0.0005522954780807732
जवाब,103,0.0005469849446376889
वाला,103,0.0005469849446376889
रेप,103,0.0005469849446376889
आई,102,0.0005416744111946045
हाल,102,0.0005416744111946045
जिस,102,0.0005416744111946045
करके,102,0.0005416744111946045
खबर,102,0.0005416744111946045
फीसदी,101,0.0005363638777515201
मिल,100,0.0005310533443084358
जिले,100,0.0005310533443084358
चुके,100,0.0005310533443084358
बाहर,100,0.0005310533443084358
साफ,99,0.0005257428108653515
फोन,99,0.0005257428108653515
चुकी,98,0.000520432277422267
करती,97,0.0005151217439791827
रन,97,0.0005151217439791827
मंदिर,96,0.0005098112105360983
शो,96,0.0005098112105360983
जेल,96,0.0005098112105360983
लगाया,96,0.0005098112105360983
रखा,96,0.0005098112105360983
जरिए,96,0.0005098112105360983
उसका,96,0.0005098112105360983
मेरे,95,0.000504500677093014
मिलने,95,0.000504500677093014
दुनिया,95,0.000504500677093014
लेने,93,0.0004938796102068453
सीट,93,0.0004938796102068453
सुबह,92,0.0004885690767637609
खास,92,0.0004885690767637609
चुका,92,0.0004885690767637609
सोशल,92,0.0004885690767637609
कोरोना,92,0.0004885690767637609
जाती,91,0.00048325854332067656
उन,90,0.0004779480098775922
पूरा,90,0.0004779480098775922
शिकायत,90,0.0004779480098775922
पीछे,90,0.0004779480098775922
आम,90,0.0004779480098775922
लोकसभा,89,0.0004726374764345078
जगह,89,0.0004726374764345078
मिली,88,0.0004673269429914235
हाथ,88,0.0004673269429914235
जनता,88,0.0004673269429914235
जरूरत,87,0.00046201640954833913
देते,87,0.00046201640954833913
मौजूद,86,0.00045670587610525476
जीत,86,0.00045670587610525476
चाहते,86,0.00045670587610525476
जिसके,85,0.0004513953426621704
कपूर,85,0.0004513953426621704
ऐसी,85,0.0004513953426621704
ली,84,0.0004460848092190861
जाते,84,0.0004460848092190861
सलमान,84,0.0004460848092190861
लिखा,83,0.0004407742757760017
बेटी,83,0.0004407742757760017
घंटे,82,0.00043546374233291733
होते,82,0.00043546374233291733
घायल,81,0.00043015320888983296
आदेश,81,0.00043015320888983296
बन,81,0.00043015320888983296
दल,80,0.00042484267544674864
माना,80,0.00042484267544674864
हमला,80,0.00042484267544674864
पांच,80,0.00042484267544674864
पसंद,79,0.0004195321420036643
