triagram,frequency,probability
रूस,22,0.0005393743257820927
कसी,1,2.4517014808276945e-05
गये,12,0.0002942041776993233
कोर,2,4.903402961655389e-05
लें,6,0.00014710208884966165
कोड,6,0.00014710208884966165
गुम,2,4.903402961655389e-05
रजत,1,2.4517014808276945e-05
पदक,2,4.903402961655389e-05
राग,5,0.0001225850740413847
लला,2,4.903402961655389e-05
गले,11,0.00026968716289104636
गनी,2,4.903402961655389e-05
अबू,1,2.4517014808276945e-05
रबर,2,4.903402961655389e-05
हरी,8,0.00019613611846621556
सजग,2,4.903402961655389e-05
बुक,16,0.00039227223693243113
फैन,8,0.00019613611846621556
ताल,5,0.0001225850740413847
आदर,3,7.355104442483083e-05
कला,5,0.0001225850740413847
छूट,11,0.00026968716289104636
लचर,2,4.903402961655389e-05
शौक,1,2.4517014808276945e-05
घटी,3,7.355104442483083e-05
दोष,5,0.0001225850740413847
फील,3,7.355104442483083e-05
सके,10,0.0002451701480827694
आईं,11,0.00026968716289104636
मिस,16,0.00039227223693243113
सेन,4,9.806805923310778e-05
दंग,4,9.806805923310778e-05
रूख,4,9.806805923310778e-05
शिन,1,2.4517014808276945e-05
नयी,1,2.4517014808276945e-05
सकल,1,2.4517014808276945e-05
माह,22,0.0005393743257820927
आदत,9,0.0002206531332744925
आदी,1,2.4517014808276945e-05
अपर,5,0.0001225850740413847
दाम,14,0.00034323820731587724
वेब,12,0.0002942041776993233
गुल,1,2.4517014808276945e-05
टंग,1,2.4517014808276945e-05
बिल,17,0.00041678925174070807
अटक,2,4.903402961655389e-05
रनर,2,4.903402961655389e-05
कवि,2,4.903402961655389e-05
गाय,11,0.00026968716289104636
माई,8,0.00019613611846621556
बहा,3,7.355104442483083e-05
अमन,6,0.00014710208884966165
लहू,3,7.355104442483083e-05
झेल,11,0.00026968716289104636
हेट,1,2.4517014808276945e-05
वाच,1,2.4517014808276945e-05
आसन,2,4.903402961655389e-05
शोध,10,0.0002451701480827694
डीन,1,2.4517014808276945e-05
बैड,1,2.4517014808276945e-05
राह,7,0.00017161910365793862
गवी,1,2.4517014808276945e-05
सदी,1,2.4517014808276945e-05
फेस,4,9.806805923310778e-05
सगे,1,2.4517014808276945e-05
हंस,3,7.355104442483083e-05
पशु,1,2.4517014808276945e-05
सजी,2,4.903402961655389e-05
अघा,1,2.4517014808276945e-05
मजे,3,7.355104442483083e-05
विश,2,4.903402961655389e-05
जनम,1,2.4517014808276945e-05
हमे,1,2.4517014808276945e-05
शपथ,33,0.0008090614886731392
छाई,2,4.903402961655389e-05
शुभ,2,4.903402961655389e-05
अंक,5,0.0001225850740413847
ऋषि,14,0.00034323820731587724
फेम,4,9.806805923310778e-05
चलन,2,4.903402961655389e-05
नकल,20,0.0004903402961655388
गुण,4,9.806805923310778e-05
कतई,3,7.355104442483083e-05
अहं,1,2.4517014808276945e-05
सीख,6,0.00014710208884966165
झोल,1,2.4517014808276945e-05
धूल,7,0.00017161910365793862
ऐशो,1,2.4517014808276945e-05
अंश,1,2.4517014808276945e-05
लपक,1,2.4517014808276945e-05
ओके,1,2.4517014808276945e-05
यौन,21,0.0005148573109738158
युग,1,2.4517014808276945e-05
थके,1,2.4517014808276945e-05
पंख,2,4.903402961655389e-05
चिर,3,7.355104442483083e-05
बिछ,1,2.4517014808276945e-05
नयन,1,2.4517014808276945e-05
धुल,1,2.4517014808276945e-05
लुट,1,2.4517014808276945e-05
दीन,1,2.4517014808276945e-05
शलभ,1,2.4517014808276945e-05
भोर,1,2.4517014808276945e-05
बुझ,1,2.4517014808276945e-05
पेज,14,0.00034323820731587724
घास,1,2.4517014808276945e-05
होश,8,0.00019613611846621556
कैफ,11,0.00026968716289104636
मिट,2,4.903402961655389e-05
पैच,1,2.4517014808276945e-05
खोज,3,7.355104442483083e-05
लीक,14,0.00034323820731587724
बगल,4,9.806805923310778e-05
जूम,3,7.355104442483083e-05
यूज,9,0.0002206531332744925
बटन,6,0.00014710208884966165
धूप,4,9.806805923310778e-05
मजा,8,0.00019613611846621556
कहर,4,9.806805923310778e-05
गली,2,4.903402961655389e-05
पडी,1,2.4517014808276945e-05
सुध,1,2.4517014808276945e-05
पहल,9,0.0002206531332744925
बास,1,2.4517014808276945e-05
टूक,1,2.4517014808276945e-05
बसु,9,0.0002206531332744925
लुक,18,0.000441306266548985
हबी,1,2.4517014808276945e-05
साध,3,7.355104442483083e-05
वेल,2,4.903402961655389e-05
भार,2,4.903402961655389e-05
घोर,1,2.4517014808276945e-05
देव,1,2.4517014808276945e-05
अति,3,7.355104442483083e-05
सवा,4,9.806805923310778e-05
भंग,2,4.903402961655389e-05
तीर,1,2.4517014808276945e-05
रघु,3,7.355104442483083e-05
दाल,14,0.00034323820731587724
आपस,3,7.355104442483083e-05
जाग,1,2.4517014808276945e-05
हिप,1,2.4517014808276945e-05
जेब,7,0.00017161910365793862
रतन,5,0.0001225850740413847
हनन,2,4.903402961655389e-05
बहू,6,0.00014710208884966165
