trigram,frequency,probability
ीचु,56,0.00018983694362520763
ीसा,205,0.000694938811485135
ाधे,7,2.3729617953150953e-05
ेहु,537,0.0018204006915488661
ुएह,75,0.0002542459066409031
ाला,583,0.0019763381809552866
ांक,449,0.0015220854944235397
ंकि,972,0.003295026950066104
िइस,184,0.0006237499576256823
ामल,634,0.0021492253974711006
ानक,962,0.0032611274958473167
ीरख,32,0.00010847825350011864
ाले,688,0.002332282450252551
ेएक,487,0.0016509034204549306
ीने,953,0.0032306179870504083
ेदब,12,4.067934506254449e-05
ीजब,29,9.830841723448253e-05
ानम,424,0.001437336858876572
ंबत,74,0.0002508559612190244
ाया,1283,0.004349299976270382
ाकि,1958,0.00663751313603851
िछो,10,3.3899454218787076e-05
ीपर,253,0.0008576561917353131
ेलो,223,0.0007559578290789518
ोगह,24,8.135869012508898e-05
ाखु,51,0.0001728872165158141
ुला,344,0.0011661412251262756
ासा,265,0.0008983355367978576
ाहो,351,0.0011898708430794264
ादभ,51,0.0001728872165158141
ारक,1565,0.005305264585240178
ेसा,1236,0.004189972541442083
ामन,352,0.001193260788501305
ारे,520,0.001762771619376928
ेहा,152,0.0005152717041255636
ातर,50,0.0001694972710939354
िएह,145,0.0004915420861724126
ेखत,81,0.0002745855791721753
ेको,471,0.0015966642937048714
ोले,407,0.0013797077867046341
ेकर,721,0.0024441506491745483
ीचि,22,7.457879928133157e-05
िंत,35,0.00011864808976575477
ंता,64,0.00021695650700023729
ावह,53,0.0001796671073595715
ंकी,953,0.0032306179870504083
ीसर,277,0.000939014881860402
ेजत,13,4.40692904844232e-05
ादी,389,0.0013186887691108173
ेमु,591,0.0020034577443303163
ुता,281,0.0009525746635479169
ाबि,397,0.001345808332485847
िकइ,28,9.491847181260381e-05
ोसक,158,0.0005356113766568358
ोकि,85,0.0002881453608596902
ालू,71,0.00024068612495338826
ूमि,81,0.0002745855791721753
ुआभ,4,1.355978168751483e-05
ेंल,267,0.000905115427641615
ीएच,21,7.118885385945287e-05
ीनव,29,9.830841723448253e-05
िजन,120,0.0004067934506254449
ेसफ,24,8.135869012508898e-05
ैबल,18,6.1019017593816737e-05
ेटह,23,7.796874470321028e-05
