digram,frequency,probability
चक,402,0.0007903055848261328
नअ,237,0.00046592642687510815
धि,569,0.001118616611358382
यो,2099,0.004126496075995156
चय,36,7.077363446204174e-05
यन,362,0.0007116682132016419
रल,844,0.0016592485412767564
गय,1264,0.00248494094333391
जो,761,0.0014960759951559378
गे,946,0.0018597738389192079
नख,120,0.00023591211487347246
खु,416,0.0008178286648947046
फि,1284,0.0025242596291461554
सू,390,0.0007667143733387855
रो,2731,0.005368966547662111
चन,318,0.0006251671044147021
मि,1867,0.0036703993205731093
ही,4657,0.009155355991381344
रे,3694,0.0072621612695217275
दल,413,0.0008119308620228678
हे,1561,0.0030688234276457543
मड,20,3.931868581224541e-05
डं,12,2.3591211487347246e-05
गए,614,0.0012070836544359341
चऔ,6,1.1795605743673623e-05
सस,887,0.001743783715773084
गं,140,0.0002752308006857179
भी,3077,0.006049179812213957
जि,1505,0.0029587311073714672
लत,595,0.001169730902914301
तन,682,0.0013407671861975685
सब,932,0.001832250758850636
तक,2528,0.00496988188666782
ती,2110,0.004148121353191891
यट,33,6.487583159020493e-05
तज,159,0.00031258355220735104
दस,549,0.0010792979255461366
हन,830,0.0016317254612081846
जग,254,0.0004993473098155167
गह,255,0.000501313244106129
हभ,114,0.00022411650912979885
जस,334,0.0006566220530644984
बे,841,0.0016533507384049195
हत,1028,0.0020209804507494143
मद,547,0.001075366056964912
दे,2738,0.005382728087696397
नज,556,0.0010930594655804225
जर,956,0.0018794331818253306
खा,1161,0.002282449711400846
सन,1009,0.001983627699227781
नि,1819,0.00357603447462372
गर,737,0.0014488935721812435
सख,70,0.00013761540034285894
शं,101,0.00019855936335183932
चि,474,0.0009318528537502163
नु,331,0.0006507242501926616
धक,178,0.00034993630372898415
वह,1052,0.002068162873724109
हक,643,0.00126409574886369
वज,356,0.0006998726074579683
जह,639,0.0012562320117012408
हस,596,0.0011716968372049133
कै,430,0.0008453517449632763
सा,4028,0.007918783322586226
सव,441,0.0008669770221600114
लप,429,0.0008433858106726641
पी,1896,0.003727411415000865
धे,92,0.0001808659547363289
हु,2287,0.004496091722630263
सम,1985,0.0039023795668653573
मा,4637,0.009116037305569098
मल,1109,0.002180221128289008
खन,269,0.0005288363241747007
कव,389,0.0007647484390481732
ठअ,8,1.5727474324898166e-05
दब,187,0.0003676297123444946
जब,728,0.0014312001635657329
नम,1123,0.0022077442083575797
बत,992,0.0019502068162873724
रट,174,0.0003420725665665351
रअ,753,0.0014803485208310398
डक,458,0.0009003979051004199
लो,1607,0.0031592564050139187
हम,1306,0.002567510183539625
कत,923,0.0018145573502351257
दभ,96,0.00018872969189877797
मन,989,0.0019443090134155356
खद,28,5.504616013714358e-05
दि,2895,0.005691379771322523
रभ,556,0.0010930594655804225
जत,203,0.00039908466099429095
दी,1865,0.0036664674519918845
बि,959,0.0018853309846971675
कइ,98,0.00019266156048000253
नो,1142,0.002245096959879213
लू,225,0.0004423352153877609
तम,705,0.0013859836748816507
चड,21,4.128462010285768e-05
डी,438,0.0008610792192881745
नव,579,0.0011382759542645047
सफ,294,0.0005779846814400075
फै,368,0.0007234638189453156
बल,523,0.0010281836339902175
टह,161,0.00031651542078857555
ये,1106,0.002174323325417171
टै,82,0.00016120661183020618
टऔ,65,0.00012778572888979758
टफ,89,0.00017496815186449207
फो,274,0.0005386659956277621
टे,861,0.001692669424217165
लक,1709,0.00335978170265637
कह,2178,0.0042818048849535256
हल,964,0.0018951606561502289
रआ,718,0.0014115408206596103
जभ,51,0.0001002626488212258
टल,251,0.0004934495069436799
चह,58,0.00011402418885551169
यह,1231,0.002420065111743705
