trigram,frequency,probability
इनब,15,0.0003871667139870428
आरह,109,0.002813411454972511
उंड,40,0.0010324445706321142
अगर,195,0.005033167281831557
ओपि,9,0.0002323000283922257
अमर,59,0.0015228557416823683
आमआ,44,0.0011356890276953257
आदम,54,0.0013938001703533542
अका,63,0.0016261001987455798
एएक,69,0.001780966884340397
ईइं,6,0.00015486668559481711
ओरस,128,0.0033038226260227654
एता,8,0.00020648891412642284
एमक,54,0.0013938001703533542
आपन,41,0.001058255684897917
औरन,129,0.003329633740288568
एकफ,24,0.0006194667423792685
एचए,5,0.00012905557132901428
एसफ,4,0.00010324445706321142
एपा,24,0.0006194667423792685
ईसे,43,0.0011098779134295228
आंद,26,0.0006710889709108742
ओंक,267,0.006891567508969362
उसक,644,0.016622357587177037
आएह,28,0.0007227111994424799
एकम,115,0.002968278140567328
एंह,21,0.0005420333995818599
उसस,85,0.002193944712593243
आगे,125,0.003226389283225357
ऐसे,216,0.005575200681413417
इटद,3,7.743334279740856e-05
उतन,17,0.00043878894251864854
आपब,14,0.00036135559972123995
ओंस,35,0.0009033889993030999
आपए,7,0.00018067779986061998
एकअ,74,0.0019100224556694112
आकर,43,0.0011098779134295228
आपक,295,0.007614278708411842
आजह,12,0.00030973337118963423
एधर,3,7.743334279740856e-05
आवश,7,0.00018067779986061998
उनस,92,0.0023746225124538626
एरा,23,0.0005936556281134657
इनम,54,0.0013938001703533542
उठे,6,0.00015486668559481711
अपभ,2,5.162222853160571e-05
इसत,98,0.0025294891980486797
इंप,15,0.0003871667139870428
ईवि,19,0.0004904111710502542
असं,5,0.00012905557132901428
ईनह,31,0.0008001445422398885
ईदे,41,0.001058255684897917
एकि,54,0.0013938001703533542
इंज,25,0.0006452778566450714
अबभ,21,0.0005420333995818599
ऐसा,178,0.004594378339312908
अंत,138,0.003561933768680794
आशी,20,0.0005162222853160571
इसे,147,0.0037942337970730197
इसल,147,0.0037942337970730197
एका,73,0.0018842113414036083
ईनय,4,0.00010324445706321142
एमै,18,0.0004646000567844514
अलग,170,0.004387889425186486
एंक,22,0.0005678445138476628
औरल,73,0.0018842113414036083
एकह,210,0.0054203339958186
एदो,24,0.0006194667423792685
ईको,154,0.00397491159693364
उठा,155,0.004000722711199442
आपस,36,0.0009292001135689028
इला,229,0.005910745166868854
इजा,30,0.0007743334279740856
असल,123,0.003174767054693751
एकद,102,0.0026327336551118913
ईजै,4,0.00010324445706321142
एकस,176,0.004542756110781303
अगल,99,0.002555300312314483
आदे,83,0.002142322484061637
आहै,95,0.002452055855251271
ईफर,7,0.00018067779986061998
उसे,269,0.006943189737500968
उनव,1,2.5811114265802855e-05
अभी,162,0.004181400511060062
ईहै,458,0.011821490333737708
आखि,121,0.003123144826162145
अबत,105,0.0027101669979093
औरज,115,0.002968278140567328
उसप,53,0.0013679890560875513
ईअम,4,0.00010324445706321142
अमल,8,0.00020648891412642284
ईमत,1,2.5811114265802855e-05
एमे,22,0.0005678445138476628
एंर,5,0.00012905557132901428
आदस,2,5.162222853160571e-05
एकश,59,0.0015228557416823683
एंम,9,0.0002323000283922257
औरश,88,0.0022713780553906514
एआठ,1,2.5811114265802855e-05
आठघ,2,5.162222853160571e-05
अभि,226,0.0058333118240714455
इसइ,10,0.00025811114265802856
आजा,48,0.001238933484758537
औरख,44,0.0011356890276953257
ओंम,42,0.0010840667991637199
ईबा,76,0.001961644684201017
