word,frequency,probability
देकर,49,0.0002501416618595
आपके,49,0.0002501416618595
धमकी,49,0.0002501416618595
अहमद,49,0.0002501416618595
उसी,48,0.0002450367299848
घोषणा,48,0.0002450367299848
दरअसल,48,0.0002450367299848
गैंगरेप,48,0.0002450367299848
आलिया,48,0.0002450367299848
पटना,48,0.0002450367299848
गृह,48,0.0002450367299848
विधायकों,48,0.0002450367299848
पहला,47,0.0002399317981101
पूछा,47,0.0002399317981101
तथा,47,0.0002399317981101
खेल,47,0.0002399317981101
फोटो,47,0.0002399317981101
रोल,47,0.0002399317981101
बिना,46,0.0002348268662354
मजबूत,46,0.0002348268662354
मिलकर,46,0.0002348268662354
निधन,46,0.0002348268662354
रहती,46,0.0002348268662354
रह,46,0.0002348268662354
बावजूद,46,0.0002348268662354
विकास,46,0.0002348268662354
नीतीश,46,0.0002348268662354
दिवस,46,0.0002348268662354
कीमत,46,0.0002348268662354
तुरंत,45,0.0002297219343607
आते,45,0.0002297219343607
साजिश,45,0.0002297219343607
अनुसार,45,0.0002297219343607
टीवी,45,0.0002297219343607
राजनीतिक,45,0.0002297219343607
मैंने,45,0.0002297219343607
सीरीज,45,0.0002297219343607
जिसे,45,0.0002297219343607
लगी,45,0.0002297219343607
मेरी,45,0.0002297219343607
समाज,45,0.0002297219343607
तेज,45,0.0002297219343607
होटल,44,0.0002246170024861
तंजील,44,0.0002246170024861
तमाम,44,0.0002246170024861
तैयारी,44,0.0002246170024861
महज,44,0.0002246170024861
विकेट,44,0.0002246170024861
विमान,44,0.0002246170024861
सामना,44,0.0002246170024861
सात,44,0.0002246170024861
मई,44,0.0002246170024861
गलत,44,0.0002246170024861
रैली,44,0.0002246170024861
लाश,43,0.0002195120706114
राजपूत,43,0.0002195120706114
कहीं,43,0.0002195120706114
सजा,43,0.0002195120706114
रहीम,43,0.0002195120706114
भूमिका,43,0.0002195120706114
बीमारी,43,0.0002195120706114
जीवन,43,0.0002195120706114
फायदा,43,0.0002195120706114
चाहता,43,0.0002195120706114
शिकार,43,0.0002195120706114
जाकर,43,0.0002195120706114
भर,43,0.0002195120706114
हालत,43,0.0002195120706114
शानदार,43,0.0002195120706114
समारोह,42,0.0002144071387367
लग,42,0.0002144071387367
मौजूदा,42,0.0002144071387367
भेज,42,0.0002144071387367
पाए,42,0.0002144071387367
राज,42,0.0002144071387367
तभी,42,0.0002144071387367
शहीद,42,0.0002144071387367
मारे,42,0.0002144071387367
वीजा,42,0.0002144071387367
थाना,42,0.0002144071387367
